Name_Ext_Mtd,Con_LOC,CON_LOCAL,CON_LITERAL,CON_INVOCATION,CON_IF,CON_CONDITIONAL,CON_SWITCH,CON_VAR_ACC,CON_TYPE_ACC,CON_FIELD_ACC,CON_ASSERT,CON_ASSIGN,CON_TYPED_ELE,CON_PACKAGE,LOC_Extracted_Method,Num_local,Num_Literal,Num_Invocation,Num_If,Num_Conditional,Num_Switch,Num_Var_Ac,Num_Type_Ac,Num_Field_Ac,Num_Assign,Num_Typed_Ele,Num_Package,ratio_LOC,Ratio_Variable_Access,Ratio_Variable_Access2,VarAc_Cohesion,VarAc_Cohesion2,Ratio_Field_Access,Ratio_Field_Access2,Field_Cohesion,Field_Cohesion2,Ratio_Invocation,Invocation_Cohesion,Ratio_Type_Access,Ratio_Type_Access2,TypeAc_Cohesion,TypeAc_Cohesion2,Ratio_Typed_Ele,TypedEle_Cohesion,Ratio_Package,Ratio_Package2,Package_Cohesion,Package_Cohesion2
updateHeader,10,0,0,8,1,0,0,12,8,5,0,3,35,108,5,0,1,6,0,0,0,4,6,2,0,22,31,0.3333333333333333,1.0,0.0,0.25,0.0,1.0,0.0,0.25,0.0,1.0,0.25,1.0,0.0,0.5,0.0,1.0,0.5,1.0,0.0,0.5,0.0
onPageSelected,15,1,0,19,0,0,0,22,27,17,0,5,79,108,4,1,0,6,0,0,0,5,3,1,0,18,17,0.21052631578947367,1.0,0.5,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333,1.0,0.0,0.3333333333333333,0.0,1.0,0.6666666666666666,1.0,0.6428571428571429,0.3333333333333333,0.6666666666666666
updateFiles,4,0,0,8,0,0,0,8,7,4,0,0,24,67,21,7,1,16,2,0,0,21,9,5,0,65,119,0.84,1.0,1.0,0.1111111111111111,0.3333333333333333,1.0,0.0,0.3333333333333333,0.0,1.0,0.1111111111111111,1.0,0.5,0.1111111111111111,0.3333333333333333,1.0,0.1111111111111111,1.0,0.0,0.4444444444444444,0.0
isOwner,10,3,0,9,1,0,0,21,14,13,0,4,58,92,10,2,1,5,2,0,0,6,3,2,0,27,26,0.5,1.0,1.0,0.2,0.2,1.0,0.0,0.2,0.0,1.0,0.2,1.0,0.2857142857142857,0.2,0.4,1.0,0.4,1.0,0.6153846153846154,0.2,0.4
updateHeader,4,0,0,8,0,0,0,8,7,4,0,0,24,67,29,5,1,21,3,0,0,27,20,10,0,94,127,0.8787878787878788,1.0,1.0,0.25,0.25,1.0,0.0,0.125,0.0,1.0,0.125,1.0,1.0,0.25,0.25,1.0,0.25,1.0,0.6785714285714286,0.25,0.5
updateActionBar,3,2,0,3,0,0,0,8,3,2,0,0,17,28,15,1,1,15,2,0,0,15,5,1,0,45,62,0.8333333333333334,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333,1.0,0.0,0.3333333333333333,0.0,1.0,0.6666666666666666,1.0,0.0,1.0,0.0
onPageSelected,21,1,0,19,3,0,0,25,31,22,0,6,97,126,5,2,0,3,0,0,0,8,3,2,0,20,28,0.19230769230769232,1.0,0.5,0.5,0.25,0.3333333333333333,0.25,0.25,0.25,1.0,0.25,0.11538461538461539,0.0,0.75,0.0,1.0,0.5,0.47368421052631576,0.12941176470588237,0.75,1.0
show,6,2,0,5,0,0,0,9,4,3,0,1,22,57,14,3,1,9,3,0,0,17,8,5,1,55,69,0.7,1.0,1.0,0.2,0.4,1.0,1.0,0.2,0.2,1.0,0.2,1.0,0.8571428571428571,0.2,0.6,1.0,0.2,1.0,0.7241379310344828,0.2,0.8
onPageSelected,10,1,0,6,1,0,0,18,22,16,0,3,58,78,30,3,1,17,5,0,0,29,15,12,1,97,112,0.75,1.0,1.0,0.16666666666666666,0.6666666666666666,1.0,1.0,0.16666666666666666,0.16666666666666666,1.0,0.16666666666666666,1.0,0.42424242424242425,0.16666666666666666,0.6666666666666666,1.0,0.16666666666666666,1.0,0.9117647058823529,0.3333333333333333,0.6666666666666666
configurePager,5,0,0,13,1,0,0,10,6,6,0,1,42,48,12,1,1,6,1,0,0,18,22,16,3,74,81,0.7058823529411765,1.0,0.0,0.5714285714285714,0.0,1.0,0.0,0.5714285714285714,0.0,1.0,0.14285714285714285,1.0,0.0,0.14285714285714285,0.0,1.0,0.5714285714285714,1.0,1.0,0.5714285714285714,0.14285714285714285
show,6,2,0,5,0,0,0,9,4,3,0,1,22,61,17,5,1,11,3,0,0,23,8,6,1,69,107,0.7391304347826086,1.0,1.0,0.4,0.2,1.0,1.0,0.2,0.2,1.0,0.2,1.0,0.8571428571428571,0.2,0.6,1.0,0.4,1.0,0.7333333333333333,0.2,0.8
loadContent,19,1,0,25,0,0,0,26,33,21,0,9,99,133,27,0,1,26,2,0,0,21,37,18,1,126,151,0.5869565217391305,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.75,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
show,7,2,0,5,1,0,0,10,5,3,0,1,24,62,21,5,1,12,4,0,0,24,10,6,2,72,97,0.75,1.0,1.0,0.2,0.4,1.0,1.0,0.2,0.2,1.0,0.2,1.0,0.875,0.2,0.6,1.0,0.2,1.0,0.75,0.2,0.8
configurePager,5,1,0,7,0,0,0,5,4,2,0,1,19,26,4,0,1,3,0,0,0,1,2,1,0,9,7,0.4444444444444444,0.5,0.0,0.3333333333333333,0.0,0.5,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333,1.0,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333,1.0,0.0,0.3333333333333333,0.0
appendReviewComment,3,0,1,6,0,0,0,7,3,0,0,0,17,64,15,1,1,11,3,0,0,13,3,0,1,42,76,0.8333333333333334,1.0,1.0,0.25,0.5,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.0,0.25,0.0,1.0,0.25,1.0,0.9130434782608695,0.25,0.75
appendCommitComment,4,1,1,6,0,0,0,8,3,0,0,0,19,68,15,1,1,11,3,0,0,13,3,0,1,42,76,0.7894736842105263,1.0,1.0,0.25,0.5,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.0,0.25,0.0,1.0,0.25,1.0,0.9130434782608695,0.25,0.75
getDotCenterX,11,5,0,11,1,0,0,31,27,21,0,0,89,94,12,5,1,3,1,1,0,26,16,13,3,99,50,0.5217391304347826,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.3333333333333333,0.0,1.0,0.1111111111111111,0.41025641025641024,0.0,1.0,0.0,1.0,0.3333333333333333,0.43103448275862066,0.0,1.0,0.0
loadColors,19,1,0,16,1,0,0,15,14,10,0,4,60,68,8,2,1,7,0,0,0,11,7,3,3,40,28,0.2962962962962963,1.0,1.0,0.6,0.2,1.0,0.0,0.4,0.0,1.0,0.2,1.0,0.0,0.2,0.0,1.0,0.6,1.0,0.0,0.8,0.0
trim,19,1,1,12,3,0,0,31,25,16,0,0,77,148,18,2,1,13,4,0,0,26,5,3,1,63,85,0.4864864864864865,1.0,0.0,0.75,0.0,0.6,0.0,0.5,0.0,1.0,0.5,1.0,0.1111111111111111,0.25,0.5,1.0,0.75,0.25,0.0,1.0,0.0
formatPres,19,1,1,12,3,0,0,31,25,16,0,0,77,148,47,6,1,20,4,0,1,73,16,16,11,157,154,0.7121212121212122,1.0,0.0,0.6,0.0,1.0,1.0,0.4,0.4,1.0,0.2,0.4,0.0,0.8,0.0,1.0,0.6,0.4742268041237113,0.0,1.0,0.0
formatEmailFragments,19,1,1,12,3,0,0,31,25,16,0,0,77,148,22,6,1,11,2,0,0,40,7,7,3,83,85,0.5365853658536586,1.0,0.0,0.75,0.0,1.0,0.0,0.5,0.0,1.0,0.25,0.22580645161290322,0.0,0.75,0.0,1.0,0.75,0.3108108108108108,0.0,1.0,0.0
show,27,1,0,22,3,0,0,28,18,5,0,0,79,234,8,0,1,6,1,0,0,6,5,0,0,21,56,0.22857142857142856,0.4444444444444444,0.4,0.8,0.4,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.5,0.2,0.2,1.0,0.2,1.0,0.5,0.2,0.2
encode,27,1,0,22,3,0,0,28,18,5,0,0,79,234,15,2,1,10,3,0,0,17,10,5,0,50,113,0.35714285714285715,1.0,1.0,0.25,0.25,1.0,0.0,0.25,0.0,1.0,0.25,0.5,0.0,0.25,0.0,1.0,0.25,0.5,0.5,0.25,0.25
getMockMenuItem,4,1,1,17,0,0,0,8,18,6,0,0,52,78,5,1,0,7,0,0,0,6,4,1,0,18,30,0.5555555555555556,1.0,1.0,0.75,0.25,1.0,0.0,0.25,0.0,1.0,0.25,1.0,0.6,0.25,0.75,1.0,0.75,1.0,0.0,1.0,0.0
getDependenciesStatusFile,61,10,1,36,5,0,0,61,33,25,0,6,188,360,6,1,1,4,1,0,0,4,1,1,0,14,22,0.08955223880597014,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.03333333333333333,0.0,0.3333333333333333,0.0,1.0,0.6666666666666666,0.2537313432835821,0.0,1.0,0.0
nextTokens,23,6,1,14,3,0,0,28,11,3,0,2,76,108,4,2,0,1,0,0,0,4,1,0,0,10,27,0.14814814814814814,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.2,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.12244897959183673,0.0,0.6666666666666666,0.0
deserializeSets,271,91,1,104,39,0,0,397,87,43,0,40,960,854,20,8,1,10,1,0,0,31,3,0,2,71,112,0.06872852233676977,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.05172413793103448,0.0,0.6666666666666666,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0
toUUID,271,91,1,104,39,0,0,397,87,43,0,40,960,854,4,2,1,2,0,0,0,6,2,0,0,15,14,0.014545454545454545,1.0,0.05,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.034482758620689655,0.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.07058823529411765,0.012121212121212121,1.0,0.6666666666666666
computeStartState,16,6,1,9,3,0,0,23,16,11,0,2,62,89,9,5,1,3,0,0,0,14,2,2,0,35,47,0.36,1.0,1.0,0.25,0.25,1.0,0.0,0.25,0.0,1.0,0.25,1.0,0.0,0.25,0.0,1.0,0.25,0.09090909090909091,0.0,0.25,0.0
addDFAEdge,8,1,0,4,2,0,0,12,4,1,0,0,23,64,13,0,1,1,3,0,0,18,7,7,2,47,67,0.6190476190476191,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.6666666666666666,0.0,1.0,0.3333333333333333,1.0,0.75,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,0.5111111111111111,0.3333333333333333,1.0
addDFAState,16,6,1,9,3,0,0,23,16,11,0,2,62,89,28,6,1,5,3,0,0,30,4,3,6,65,97,0.6363636363636364,1.0,0.0,0.5714285714285714,0.0,1.0,0.0,0.14285714285714285,0.0,1.0,0.14285714285714285,1.0,0.0,0.14285714285714285,0.0,1.0,0.5714285714285714,1.0,0.8703703703703703,0.14285714285714285,0.8571428571428571
execATN,16,6,1,9,3,0,0,23,16,11,0,2,62,89,33,3,1,12,8,0,0,38,17,10,3,92,161,0.673469387755102,1.0,1.0,0.3333333333333333,0.16666666666666666,1.0,0.5,0.5,0.3333333333333333,1.0,0.3333333333333333,1.0,0.5238095238095238,0.16666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.5473684210526316,0.0,1.0,0.0
getAltThatFinishedDecisionEntryRule,13,4,0,4,3,0,0,15,6,3,0,1,34,49,11,2,1,5,2,0,0,9,2,1,0,26,31,0.4583333333333333,1.0,0.5,0.25,0.25,0.5,0.0,0.25,0.0,1.0,0.25,1.0,0.0,0.25,0.0,1.0,0.25,1.0,0.9166666666666666,0.25,1.0
splitAccordingToSemanticValidity,13,4,0,4,3,0,0,15,6,3,0,1,34,49,16,4,0,4,2,0,0,18,2,1,0,33,87,0.5517241379310345,1.0,1.0,0.25,0.75,1.0,0.0,0.25,0.0,1.0,0.25,1.0,0.0,0.25,0.0,1.0,0.25,1.0,0.0,0.75,0.0
computeReachSet,28,4,1,13,6,0,0,46,16,7,0,9,114,175,61,12,1,18,14,0,0,70,20,13,6,182,277,0.6853932584269663,1.0,1.0,0.25,0.25,1.0,1.0,0.25,0.16666666666666666,1.0,0.08333333333333333,1.0,1.0,0.16666666666666666,0.16666666666666666,1.0,0.25,1.0,1.0,0.3333333333333333,0.08333333333333333
getConflictingAltsOrUniqueAlt,8,3,0,5,1,0,0,13,4,1,0,3,31,61,9,1,0,1,1,0,0,8,1,1,2,15,32,0.5294117647058824,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.5,0.0,0.3333333333333333,0.0,1.0,0.6666666666666666,0.6538461538461539,0.0,1.0,0.0
addDFAEdge,28,4,1,13,6,0,0,46,16,7,0,9,114,175,21,0,1,6,5,1,0,28,11,9,3,86,171,0.42857142857142855,1.0,1.0,0.8571428571428571,0.42857142857142855,1.0,0.6666666666666666,0.2857142857142857,0.2857142857142857,1.0,0.14285714285714285,1.0,0.6666666666666666,0.2857142857142857,0.2857142857142857,1.0,0.8571428571428571,1.0,0.6666666666666666,0.14285714285714285,0.2857142857142857
getPredsForAmbigAlts,8,3,0,5,1,0,0,13,4,1,0,3,31,61,22,4,1,4,5,0,0,27,6,4,3,65,66,0.7333333333333333,1.0,1.0,0.14285714285714285,0.14285714285714285,1.0,0.0,0.14285714285714285,0.0,1.0,0.14285714285714285,1.0,0.0,0.2857142857142857,0.0,1.0,0.14285714285714285,1.0,0.0,0.14285714285714285,0.0
getAllContextNodes,64,11,1,36,8,0,0,60,9,7,0,2,166,257,5,2,0,1,0,0,0,4,1,0,0,10,40,0.07246376811594203,1.0,0.5,0.25,0.25,0.0,0.0,0.0,0.0,1.0,0.25,0.3333333333333333,0.0,0.25,0.0,1.0,0.25,0.5555555555555556,0.0,1.0,0.0
getAllContextNodes_,3,2,0,1,0,0,0,4,1,0,0,0,10,40,9,1,1,6,1,0,0,15,1,0,0,29,140,0.75,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.0,0.25,0.0,1.0,1.0,1.0,0.0,0.25,0.0
combineCommonParents,84,16,0,14,15,0,0,150,6,2,0,15,286,763,11,4,1,3,1,0,0,20,0,2,1,39,63,0.11578947368421053,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.6666666666666666,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.75,0.0,1.0,0.0
hasStateAssociatedWithOneAlt,15,4,0,5,3,0,0,16,6,2,0,2,39,73,8,2,1,3,1,0,0,3,1,0,0,13,26,0.34782608695652173,1.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.25,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.7777777777777778,0.0,0.6666666666666666,0.0
getConflictingAltSubsets,15,4,0,5,3,0,0,16,6,2,0,2,39,73,11,3,1,4,1,0,0,11,0,0,1,23,43,0.4230769230769231,1.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.76,0.0,0.6666666666666666,0.0
singleTokenDeletion,8,1,0,4,2,0,0,7,3,0,0,0,18,45,11,3,1,8,1,0,0,9,3,0,0,28,54,0.5789473684210527,1.0,0.6,0.25,0.75,0.0,0.0,0.0,0.0,1.0,0.25,0.6,0.0,0.5,0.0,1.0,0.25,1.0,0.0,0.5,0.0
getErrorRecoverySet,9,1,0,11,2,0,0,15,9,7,0,2,46,82,13,6,1,6,0,0,0,16,1,1,1,37,54,0.5909090909090909,1.0,1.0,0.16666666666666666,0.5,1.0,0.0,0.16666666666666666,0.0,1.0,0.16666666666666666,1.0,0.0,0.16666666666666666,0.0,1.0,0.16666666666666666,1.0,0.0,0.3333333333333333,0.0
getTokenErrorDisplay,8,4,1,8,1,0,0,11,4,0,0,0,33,66,13,1,1,4,3,0,0,9,5,1,2,36,56,0.6190476190476191,1.0,0.8,0.5,0.75,1.0,0.0,0.25,0.0,1.0,0.25,1.0,0.5714285714285714,0.25,0.75,1.0,0.5,0.6875,0.0,1.0,0.0
getTokenErrorDisplay,7,3,1,8,1,0,0,10,4,0,0,0,31,61,13,1,1,4,3,0,0,9,5,1,2,36,56,0.65,1.0,0.8,0.5,0.75,1.0,0.0,0.25,0.0,1.0,0.25,1.0,0.5714285714285714,0.25,0.75,1.0,0.5,0.88,0.0,1.0,0.0
escapeWSAndQuote,12,3,1,9,2,0,0,15,2,1,0,3,39,75,5,0,1,3,0,0,0,7,0,0,3,23,60,0.29411764705882354,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,0.125,0.0,1.0,0.0
escapeWSAndQuote,11,1,1,4,3,0,0,9,5,1,0,2,32,54,5,0,1,3,0,0,0,7,0,0,3,23,60,0.3125,0.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,1.0,0.25,0.19444444444444445,0.0,1.0,0.0
getConflictingAlts,8,5,1,7,1,0,0,15,5,1,0,0,35,99,9,2,1,1,1,0,0,6,0,0,0,12,29,0.5294117647058824,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,1.0,0.25,0.09375,0.0,0.5,0.0
nextToken,6,2,0,4,0,0,0,6,3,1,0,1,18,30,45,2,1,14,6,0,0,36,34,30,11,140,129,0.8823529411764706,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,1.0,0.967741935483871,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,0.8636363636363636,0.6666666666666666,1.0
getErrorDisplay,3,3,1,6,0,0,0,9,8,5,0,0,32,50,17,1,1,1,0,0,1,8,2,1,4,23,29,0.85,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333,1.0,0.0,0.3333333333333333,0.0,1.0,0.6666666666666666,0.8275862068965517,0.0,1.0,0.0
toTableString,11,1,1,12,0,0,0,13,2,2,0,0,47,112,24,4,1,8,3,0,0,14,1,1,1,41,62,0.6857142857142857,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333,1.0,0.0,0.3333333333333333,0.0,1.0,0.6666666666666666,1.0,0.3867924528301887,0.3333333333333333,1.0
getBucket,15,4,1,2,3,0,0,13,3,4,0,0,32,42,4,2,1,1,0,0,0,6,2,3,0,16,11,0.21052631578947367,1.0,0.5,0.3333333333333333,0.3333333333333333,1.0,0.5,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.29411764705882354,0.0,0.6666666666666666,0.0
getBucket,21,4,0,4,4,0,0,26,9,10,0,3,59,81,4,2,1,1,0,0,0,6,2,3,0,16,11,0.16,1.0,0.5,0.3333333333333333,0.3333333333333333,1.0,0.5,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,0.1111111111111111,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.14492753623188406,0.0,0.6666666666666666,0.0
subtract,10,1,0,3,2,0,0,9,2,0,0,2,24,50,53,7,1,11,9,0,0,61,0,9,2,120,169,0.8412698412698413,1.0,1.0,0.14285714285714285,0.42857142857142855,1.0,0.0,0.14285714285714285,0.0,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,1.0,0.14285714285714285,1.0,0.0,0.14285714285714285,0.0
save,4,1,1,4,0,0,0,5,1,1,0,0,16,28,8,2,0,3,0,0,0,4,1,0,0,13,25,0.6666666666666666,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.8823529411764706,0.0,1.0,0.0
addAnyChild,1,0,0,2,0,0,0,2,2,0,0,0,7,18,6,0,1,1,1,0,0,5,3,3,1,16,22,0.8571428571428571,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,0.75,0.0,0.6666666666666666,0.0,1.0,0.6666666666666666,1.0,0.7333333333333333,0.6666666666666666,1.0
reduceToSingleOperationPerIndex,35,9,0,19,7,0,0,45,10,11,0,3,111,167,81,18,1,31,16,1,0,166,18,58,6,319,591,0.6982758620689655,1.0,1.0,0.4,0.4,1.0,1.0,0.4,0.4,1.0,0.6,1.0,1.0,0.4,0.4,1.0,0.4,1.0,0.7142857142857143,0.2,1.0
getProgram,3,2,0,3,0,0,0,8,1,1,0,1,16,40,6,1,1,2,1,0,0,6,2,1,1,16,45,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333,1.0,0.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.7142857142857143,0.0,1.0,0.0
getProgram,3,2,0,3,0,0,0,8,1,1,0,1,16,40,6,1,1,2,1,0,0,6,2,1,1,16,45,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333,1.0,0.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.7142857142857143,0.0,1.0,0.0
enterRule,13,3,0,7,2,0,0,18,5,0,0,0,38,79,4,1,0,3,0,0,0,5,0,0,0,9,26,0.23529411764705882,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,0.0,1.0,0.0
exitRule,13,3,0,7,2,0,0,18,5,0,0,0,38,79,4,1,0,3,0,0,0,5,0,0,0,9,26,0.23529411764705882,1.0,0.25,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,0.0,1.0,0.0
tokenize,18,5,0,10,1,0,0,20,8,5,0,1,58,104,35,11,1,27,5,0,0,43,12,9,1,132,197,0.660377358490566,1.0,1.0,0.25,0.25,1.0,1.0,0.25,0.25,1.0,0.25,1.0,1.0,0.25,0.25,1.0,0.25,0.7857142857142857,0.0,1.0,0.0
getNodeText,16,3,1,15,2,0,0,22,5,0,0,1,60,134,25,6,1,11,7,0,0,22,5,1,0,56,125,0.6097560975609756,1.0,0.6,0.25,0.75,1.0,0.0,0.25,0.0,1.0,0.5,1.0,0.0,0.25,0.0,1.0,0.25,1.0,0.0,0.5,0.0
