Name_Ext_Mtd,Con_LOC,CON_LOCAL,CON_LITERAL,CON_INVOCATION,CON_IF,CON_CONDITIONAL,CON_SWITCH,CON_VAR_ACC,CON_TYPE_ACC,CON_FIELD_ACC,CON_ASSERT,CON_ASSIGN,CON_TYPED_ELE,CON_PACKAGE,LOC_Extracted_Method,Num_local,Num_Literal,Num_Invocation,Num_If,Num_Conditional,Num_Switch,Num_Var_Ac,Num_Type_Ac,Num_Field_Ac,Num_Assign,Num_Typed_Ele,Num_Package,ratio_LOC,Ratio_Variable_Access,Ratio_Variable_Access2,VarAc_Cohesion,VarAc_Cohesion2,Ratio_Field_Access,Ratio_Field_Access2,Field_Cohesion,Field_Cohesion2,Ratio_Invocation,Invocation_Cohesion,Ratio_Type_Access,Ratio_Type_Access2,TypeAc_Cohesion,TypeAc_Cohesion2,Ratio_Typed_Ele,TypedEle_Cohesion,Ratio_Package,Ratio_Package2,Package_Cohesion,Package_Cohesion2
updateHeader,12,0,0,11,1,0,0,13,9,5,0,3,40,113,3,0,1,2,0,0,0,2,4,2,0,12,14,0.2,1.0,0.0,0.25,0.0,1.0,0.0,0.25,0.0,1.0,0.25,1.0,0.0,0.5,0.0,1.0,0.5,1.0,0.0,0.5,0.0
onPageSelected,15,2,0,20,0,0,0,23,22,14,0,2,76,103,4,0,0,4,0,0,0,3,6,3,3,19,16,0.21052631578947367,0.5,0.3333333333333333,0.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,1.0,0.15789473684210525,0.0,0.3333333333333333,1.0,0.0,1.0,0.16666666666666666,0.0,0.0
updateFiles,23,7,0,20,2,0,0,26,14,9,0,0,75,168,2,0,0,3,0,0,0,2,1,0,0,6,8,0.08,0.5,0.25,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,1.0,0.1111111111111111,1.0,0.0,0.1111111111111111,0.0,1.0,0.1111111111111111,0.5,0.0,0.1111111111111111,0.0
isOwner,7,1,0,6,1,0,0,9,3,2,0,0,25,41,13,4,1,6,2,0,0,10,7,7,3,41,42,0.65,1.0,0.5,0.0,0.4,1.0,0.5,0.0,0.0,1.0,0.2,1.0,0.7142857142857143,0.0,0.4,1.0,0.0,1.0,0.6296296296296297,0.0,0.4
updateHeader,22,3,0,20,2,0,0,23,20,11,0,0,73,136,11,2,1,8,1,0,0,11,6,3,0,35,47,0.3333333333333333,1.0,0.0,0.125,0.0,1.0,0.0,0.125,0.0,1.0,0.125,1.0,0.0,0.125,0.0,1.0,0.125,0.5,0.35714285714285715,0.25,0.5
updateActionBar,16,3,0,16,2,0,0,20,7,3,0,0,54,78,2,0,1,1,0,0,0,1,0,0,0,3,3,0.1111111111111111,0.1111111111111111,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.10344827586206896,0.0,1.0,0.0
onPageSelected,24,3,0,20,3,0,0,30,30,21,0,5,103,136,2,0,0,1,0,0,0,2,2,2,1,9,12,0.07692307692307693,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.5,0.0,0.07692307692307693,0.0,0.75,0.0,1.0,0.0,0.21052631578947367,0.0,0.75,0.0
show,18,5,0,12,3,0,0,24,11,8,0,2,66,111,2,0,0,1,0,0,0,1,0,0,0,2,4,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.06896551724137931,0.0,0.8
onPageSelected,20,2,0,9,3,0,0,25,26,20,0,4,78,104,20,2,1,13,3,0,0,21,10,8,0,69,83,0.5,1.0,0.4,0.16666666666666666,0.6666666666666666,1.0,0.5,0.16666666666666666,0.3333333333333333,1.0,0.16666666666666666,1.0,0.2727272727272727,0.16666666666666666,0.6666666666666666,1.0,0.16666666666666666,1.0,0.9,0.16666666666666666,0.3333333333333333
configurePager,9,0,0,4,1,0,0,16,19,14,0,2,49,72,8,1,1,14,1,0,0,12,8,8,2,55,52,0.47058823529411764,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.24,0.14285714285714285,0.8571428571428571,1.0,0.0,1.0,0.2804878048780488,0.0,0.8571428571428571
show,20,7,0,14,3,0,0,30,10,9,0,2,79,141,3,0,0,1,0,0,0,1,1,0,0,4,12,0.13043478260869565,0.25,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.14285714285714285,0.0,0.6,0.0,1.0,0.2,0.13333333333333333,0.0,0.8,0.0
loadContent,44,1,1,49,2,0,0,46,67,38,0,10,202,273,2,0,1,1,0,0,0,1,2,1,0,6,7,0.043478260869565216,0.14285714285714285,0.0,0.6666666666666666,0.0,0.14285714285714285,0.0,0.6666666666666666,0.0,0.5,0.3333333333333333,0.16666666666666666,0.0,1.0,0.0,0.5,0.3333333333333333,0.16666666666666666,0.0,1.0,0.0
configurePager,4,1,0,5,0,0,0,4,3,2,0,1,14,20,5,0,1,4,0,0,0,2,2,1,0,12,10,0.5555555555555556,1.0,0.0,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333,1.0,0.6,0.3333333333333333,0.0
appendReviewComment,2,0,0,3,0,0,0,4,2,0,0,0,9,34,16,1,1,11,3,0,0,14,3,0,1,44,87,0.8888888888888888,1.0,0.6666666666666666,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.25,0.5,1.0,0.25,1.0,0.9565217391304348,0.25,0.75
appendCommitComment,16,2,1,13,3,0,0,16,4,0,0,1,47,103,3,0,1,2,0,0,0,3,1,0,0,8,27,0.15789473684210525,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.5,0.0,1.0,0.0,0.4,0.23076923076923078,0.0,1.0
getDotCenterY,11,4,0,9,1,0,0,31,24,20,0,0,84,86,4,2,1,1,0,0,0,9,6,5,0,32,19,0.26666666666666666,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.3333333333333333,0.6666666666666666,1.0,0.0,0.21428571428571427,0.0,1.0,0.0,1.0,0.3333333333333333,0.2289156626506024,0.0,1.0,0.0
getDotCenterX,19,9,0,8,2,1,0,42,29,23,0,3,127,96,4,0,1,5,0,0,0,14,12,10,0,47,42,0.17391304347826086,1.0,0.6,0.0,0.0,1.0,0.6,0.0,0.0,1.0,0.0,1.0,0.2564102564102564,0.0,1.0,1.0,0.0,1.0,0.5555555555555556,0.0,0.0
loadColors,19,1,0,15,1,0,0,15,17,11,0,5,64,69,8,2,1,7,0,0,0,11,3,2,2,33,24,0.2962962962962963,1.0,1.0,0.2,0.4,1.0,0.0,0.4,0.0,1.0,0.0,1.0,0.0,0.2,0.0,1.0,0.2,1.0,0.16666666666666666,0.0,0.6
trim,35,3,1,23,7,0,0,54,29,19,0,0,133,221,2,0,0,1,0,0,0,2,0,0,1,4,6,0.05405405405405406,0.125,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.25,0.014705882352941176,0.0,1.0,0.0
show,33,1,0,26,4,0,0,30,21,5,0,0,90,258,2,0,0,1,0,0,0,2,1,0,0,5,17,0.05714285714285714,0.5,0.1111111111111111,0.0,0.8,0.0,0.0,0.0,0.0,1.0,0.0,0.07142857142857142,0.0,0.6,0.0,1.0,0.0,0.07777777777777778,0.0,1.0,0.0
encode,38,2,0,28,5,0,0,39,25,9,0,0,110,296,4,0,0,3,1,0,0,4,1,0,0,9,34,0.09523809523809523,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05263157894736842,0.0,1.0,0.0,1.0,0.0,0.28125,0.10476190476190476,0.0,1.0
getMockMenuItem,6,2,0,16,0,0,0,10,13,4,0,0,47,71,3,0,1,6,0,0,0,3,6,2,0,17,26,0.3333333333333333,1.0,0.3333333333333333,0.0,0.75,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.4,0.0,0.75,1.0,0.0,1.0,0.5714285714285714,0.0,0.75
getDependenciesStatusFile,65,10,1,37,6,0,0,58,29,22,0,6,184,344,2,0,0,1,0,0,0,4,1,1,0,7,20,0.029850746268656716,0.5,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,1.0,0.0,0.03333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,0.18181818181818182,0.1276595744680851,0.0,0.0
nextTokens,25,7,1,13,3,0,0,30,10,3,0,2,79,121,2,0,0,1,0,0,0,1,1,0,0,3,3,0.07407407407407407,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.061224489795918366,0.0,0.6666666666666666,0.0
deserializeSets,286,98,1,110,39,0,0,419,86,41,0,41,1008,938,5,1,1,2,1,0,0,4,1,1,0,12,10,0.01718213058419244,1.0,0.17647058823529413,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
toUUID,271,90,1,102,39,0,0,389,87,43,0,40,952,839,4,2,0,3,0,0,0,12,1,0,0,19,25,0.014545454545454545,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.017241379310344827,0.0,0.6666666666666666,0.0,1.0,0.0,0.15789473684210525,0.03529411764705882,0.0,1.0
computeStartState,23,10,1,8,3,0,0,32,14,11,0,2,80,99,2,0,1,3,0,0,0,3,3,2,0,12,16,0.08,1.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0
addDFAState,42,11,1,11,6,0,0,49,16,12,1,8,112,155,2,0,1,2,0,0,0,3,3,2,0,10,17,0.045454545454545456,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0
execATN,47,8,1,18,11,0,0,56,29,19,0,5,131,222,2,0,1,2,0,0,0,3,3,2,0,10,17,0.04081632653061224,0.5,0.25,0.0,0.3333333333333333,0.25,0.0,0.3333333333333333,0.0,1.0,0.0,0.25,0.0,0.3333333333333333,0.0,1.0,0.0,0.25,0.0,0.3333333333333333,0.0
getAltThatFinishedDecisionEntryRule,20,5,0,5,4,0,0,18,6,4,0,1,42,56,4,0,1,3,1,0,0,5,1,0,0,14,14,0.16666666666666666,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.0,0.25,0.0,1.0,0.25,1.0,0.0,0.25,0.0
splitAccordingToSemanticValidity,27,6,0,6,5,0,0,27,6,4,0,1,54,83,2,1,0,1,0,0,0,4,1,0,0,8,25,0.06896551724137931,1.0,0.3333333333333333,0.25,0.25,0.0,0.0,0.0,0.0,1.0,0.25,0.3333333333333333,0.0,0.25,0.0,1.0,0.25,0.0,0.0,0.0,0.0
computeReachSet,87,14,1,29,20,0,0,113,34,20,2,15,278,405,2,1,0,1,0,0,0,1,1,0,0,4,9,0.02247191011235955,0.05,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.08333333333333333,0.0,1.0,0.0,0.0975609756097561,0.0,0.4166666666666667,0.0
getPredsForAmbigAlts,28,6,1,7,6,0,0,35,9,5,0,5,85,98,2,0,1,1,0,0,0,2,0,0,1,5,8,0.06666666666666667,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.23076923076923078,0.0,0.0,0.0
getAllContextNodes,62,12,1,34,7,0,0,57,8,6,0,1,159,273,7,0,1,2,1,0,0,6,1,1,1,13,12,0.10144927536231885,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.25,0.0,1.0,0.0,0.06134969325153374,0.0,0.0,0.0
getAllContextNodes_,10,3,0,4,1,0,0,12,0,0,0,0,27,113,2,0,0,2,0,0,0,4,1,0,0,7,43,0.16666666666666666,0.3333333333333333,0.14285714285714285,0.25,1.0,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.0,0.25,0.0,1.0,0.25,0.0,0.0,0.0,0.0
combineCommonParents,69,16,0,12,12,0,0,121,2,3,0,10,232,658,26,4,1,4,4,0,0,48,3,1,6,90,167,0.2736842105263158,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.25,0.0,1.0,0.0
hasStateAssociatedWithOneAlt,21,5,0,5,4,0,0,15,5,2,0,2,40,76,2,0,0,1,0,0,0,2,0,0,0,3,6,0.08695652173913043,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
getConflictingAltSubsets,24,6,0,7,4,0,0,24,5,2,0,3,55,97,2,0,0,1,0,0,0,2,0,0,0,3,6,0.07692307692307693,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
singleTokenDeletion,16,3,0,10,3,0,0,13,5,0,0,0,36,80,3,0,0,1,0,0,0,2,0,0,0,3,8,0.15789473684210525,0.3333333333333333,0.1,0.25,0.75,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0
getErrorRecoverySet,20,6,0,15,2,0,0,29,9,8,0,3,77,117,2,0,0,1,0,0,0,1,0,0,0,2,6,0.09090909090909091,0.125,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
getTokenErrorDisplay,16,3,1,10,3,0,0,17,8,1,0,2,54,100,5,1,1,1,1,0,0,2,0,0,0,7,13,0.23809523809523808,0.2,0.16666666666666666,0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0625,0.0,1.0,0.0
escapeWSAndQuote,10,1,1,4,2,0,0,10,1,0,0,3,34,79,6,0,1,2,1,0,0,5,3,1,2,20,30,0.375,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.4722222222222222,0.0,1.0,0.0
getConflictingAlts,15,6,1,6,2,0,0,17,4,1,0,0,39,96,2,0,0,1,0,0,0,2,0,0,0,3,11,0.11764705882352941,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.15625,0.0,0.5,0.0
nextToken,49,3,1,16,6,0,0,40,35,30,0,12,124,141,2,0,0,1,0,0,0,2,1,1,0,5,5,0.0392156862745098,1.0,0.2,0.3333333333333333,0.6666666666666666,0.2,0.0,0.6666666666666666,0.0,1.0,0.3333333333333333,0.03225806451612903,0.0,1.0,0.0,1.0,0.3333333333333333,0.03787878787878788,0.0,1.0,0.0
emit,3,2,0,2,0,0,0,1,2,0,0,0,7,8,3,1,1,3,0,0,0,8,7,5,1,28,34,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.7142857142857143,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
getErrorDisplay,17,1,1,2,0,0,1,12,4,3,0,4,32,42,3,2,0,4,0,0,0,4,5,3,0,18,23,0.15,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,1.0,0.0,1.0,0.4117647058823529,0.0,0.6666666666666666
getBucket,10,4,1,1,1,0,0,10,3,4,0,0,28,30,9,1,1,1,2,0,0,8,1,3,0,15,20,0.47368421052631576,1.0,0.0,0.0,0.0,1.0,0.5,0.0,0.3333333333333333,1.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,0.5,0.0,0.3333333333333333,0.0
subtract,58,8,0,11,11,0,0,59,1,7,0,4,124,185,5,0,1,2,0,0,0,10,0,2,0,16,20,0.07936507936507936,0.3,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.14285714285714285,0.0,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,1.0,0.14285714285714285,0.2222222222222222,0.0,0.14285714285714285,0.0
of,1,1,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,1,0,0,0,4,0,0,0,5,9,0.75,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.75,0.0,1.0,0.0
of,1,1,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,1,0,0,0,4,0,0,0,5,9,0.75,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.75,0.0,1.0,0.0
save,10,3,1,5,0,0,0,7,2,1,0,0,24,46,2,0,0,1,0,0,0,1,0,0,0,2,3,0.16666666666666666,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.17647058823529413,0.0,1.0,0.0
finish,11,2,0,1,0,0,0,20,1,0,0,6,46,21,2,0,0,1,0,0,0,3,1,0,1,6,3,0.15384615384615385,1.0,0.10526315789473684,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.08695652173913043,0.0,1.0
addAnyChild,4,0,0,1,1,0,0,3,3,2,0,1,12,22,3,0,0,1,0,0,0,3,1,1,0,6,9,0.42857142857142855,1.0,0.5,0.6666666666666666,0.6666666666666666,0.5,0.0,0.6666666666666666,0.0,1.0,0.3333333333333333,0.25,0.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0
reduceToSingleOperationPerIndex,111,25,1,48,22,1,0,207,27,69,0,9,412,728,5,1,1,1,1,0,0,3,0,0,0,7,15,0.04310344827586207,0.08333333333333333,0.047619047619047616,0.6,0.6,0.0,0.0,0.0,0.0,0.3333333333333333,0.6,0.0,0.0,0.0,0.0,0.3333333333333333,0.6,0.006802721088435374,0.0,1.0,0.0
getProgram,3,2,0,2,0,0,0,6,1,1,0,0,12,38,6,0,1,2,1,0,0,7,1,1,2,15,34,0.6666666666666666,1.0,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,0.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.5714285714285714,0.0,1.0,0.0
getProgram,2,2,0,1,0,0,0,4,1,1,0,0,9,31,7,0,1,3,1,0,0,9,1,1,2,18,41,0.7777777777777778,1.0,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,0.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.7142857142857143,0.0,1.0,0.0
enterRule,14,4,0,7,2,0,0,17,4,0,0,0,37,75,3,0,0,2,0,0,0,4,0,0,0,6,18,0.17647058823529413,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.75,0.0,1.0,0.0
exitRule,15,4,0,7,2,0,0,18,3,0,0,0,37,80,2,0,0,2,0,0,0,3,1,0,0,7,13,0.11764705882352941,0.3333333333333333,0.25,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
getNodeText,37,8,1,23,8,0,0,40,8,1,0,1,102,226,4,0,1,1,1,0,0,2,0,0,0,6,4,0.0975609756097561,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
rawGetGrammar,16,4,1,9,0,0,0,10,7,1,0,3,46,77,2,0,1,2,0,0,0,1,2,1,0,8,11,0.1111111111111111,0.5,0.0,0.25,0.0,0.5,0.0,0.25,0.0,1.0,0.0,0.5,0.0,0.25,0.0,1.0,0.0,0.5,0.10909090909090909,0.25,1.0
writeLexerTestFile,7,3,1,6,0,1,0,10,7,2,0,0,71,117,2,0,1,1,0,0,0,2,0,0,0,4,10,0.2222222222222222,0.5,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.375,0.0,1.0,0.0
locateRuntime,38,7,1,16,3,0,0,22,11,6,0,2,98,140,2,0,1,1,0,0,0,1,1,1,0,4,6,0.05,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.14285714285714285,0.0,0.0,0.0,1.0,0.0,0.125,0.037383177570093455,0.16666666666666666,1.0
locateRuntime,69,14,1,34,6,1,0,53,30,20,0,5,223,348,2,0,1,1,0,0,0,1,1,1,0,4,6,0.028169014084507043,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.0,0.0,1.0,0.0,0.05405405405405406,0.017241379310344827,0.16666666666666666,1.0
execModule,62,13,1,32,5,1,0,56,34,21,0,3,220,384,3,0,1,1,0,0,0,1,1,1,0,5,6,0.046153846153846156,0.3333333333333333,0.0,0.09090909090909091,0.0,0.3333333333333333,0.0,0.09090909090909091,0.0,1.0,0.09090909090909091,0.1,0.0,0.36363636363636365,0.0,1.0,0.09090909090909091,0.05714285714285714,0.0,0.5454545454545454,0.0
writeLexerTestFile,11,2,1,8,1,1,0,15,7,2,0,1,86,134,6,1,1,3,1,0,0,2,4,2,0,15,18,0.35294117647058826,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.42857142857142855,0.0,0.3333333333333333,1.0,0.0,1.0,0.3333333333333333,0.0,1.0
execTest,30,9,1,20,2,0,0,30,16,6,0,2,96,191,2,0,0,1,0,0,0,2,1,1,0,4,7,0.0625,1.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.1111111111111111,0.04310344827586207,0.3333333333333333,0.6666666666666666
execTest,21,6,1,13,1,0,0,20,8,3,0,2,61,96,3,2,1,2,0,0,0,2,1,1,0,10,17,0.125,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.2,0.0,0.6666666666666666,0.0,1.0,0.3333333333333333,0.375,0.0,0.3333333333333333,0.0
rawExecRecognizer,10,1,1,6,1,0,0,12,7,1,0,1,34,123,2,0,1,1,0,0,0,2,2,1,0,7,22,0.16666666666666666,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
